Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Straße;PLZ;Ort;Politischer Bezirk;Postadresse / Straße;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gruendungsdatum;ZweigniederlassungVon
Zweigstelle;327026;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Innsbruck;Sparkassenplatz 5;6020;Innsbruck;Innsbruck;;;;;Tirol;050100/26940;050100/26962;;;;;1683934
Zweigstelle;326828;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Klagenfurt;Feldkirchnerstraße 140;9020;Klagenfurt;Klagenfurt;;;;;Kärnten;050100/26840;050100/926840;;;;;1683934
Zweigstelle;5241553;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Krems a.d.Donau;Bahnhofplatz 10;3500;Krems/Donau;Krems;;;;;Niederösterreich;050100/26715;050100/926715;;;;19890301;1683934
Zweigstelle;327034;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Linz;Sparkassenplatz 2;4021;Linz;Linz;;;;;Oberösterreich;050100/26865;050100/926865;;;;;1683934
Zweigstelle;5241537;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Oberwart;Schulgasse 44;7400;Oberwart;Oberwart;;;;;Burgenland;050100/26760;050100/926760;;;;20001101;1683934
Zweigstelle;326720;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Salzburg;Bayerhamerstraße 14;5020;Salzburg;Salzburg;;5027;Salzburg;57;Salzburg;050100/26910;050100/926910;;;;;1683934
Zweigstelle;8802629;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter St.Johann im Pongau;Pöllnstraße 2;5600;St.Johann im Pongau;St. Johann im Pongau;;;;;Salzburg;050100/26925;050100/926925;;;;19970723;1683934
Zweigstelle;5241545;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Stockerau;Sparkassaplatz 1;2000;Stockerau;Korneuburg;;;;;Niederösterreich;050100/26725;050100/26730;;;;19991101;1683934
Zweigstelle;326941;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter St.Pölten;Josefstraße 120;3100;St.Pölten;St. Pölten;;;;;Niederösterreich;050100/26700;050100/926700;;;;;1683934
Zweigstelle;16135423;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Villach;Trattengasse 32/3;9500;Villach;Villach;;;;;Kärnten;050100/26850;050100/926850;;;;20120101;1683934
Zweigstelle;5241499;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Wels;Maximilianstraße 6;4600;Wels;Wels;;;;;Oberösterreich;050100/26900;050100/926900;;;;19960101;1683934
Zweigstelle;5241561;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Wiener Neustadt;Marktgasse 3A;2700;Wiener Neustadt;Wiener Neustadt;;;;;Niederösterreich;050100/26735;050100/926735;;;;20010301;1683934
Zweigstelle;5241510;24012;;Bausparkassen;;Bausparkasse der österreichischen Sparkassen AG Bausparcenter Wörgl;Josef-Speckbacherstraße 4;6300;Wörgl;Kufstein;;;;;Tirol;050100/26965;050100/926965;;;;19921001;1683934
Hauptanstalt;3616975;19950;KI;Bausparkassen;319422p;Bausparkasse Wüstenrot AG;Alpenstraße 70;5020;Salzburg;Salzburg;;5033;Salzburg;155;Salzburg;057070/100-0;057070/1010579;presse@wuestenrot.at;WUBUAT21;;19970509;
Zweigstelle;334901;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG L.Dion für Kärnten und Osttirol;8.Mai-Straße 31;9020;Klagenfurt;Klagenfurt;;9020;Klagenfurt;478;Kärnten;057070/260;057070/261;klagenfurt@wuestenrot.at;;;;3616975
Zweigstelle;9721185;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG L.Dion für Salzburg;Alpenstraße 61;5020;Salzburg;Salzburg;;;;;Salzburg;057070/100850;057070/1010850;ld1@wuestenrot.at;;;20100226;3616975
Zweigstelle;334910;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG L.Dion Oberösterreich;Magazingasse 8;4020;Linz/Donau;Linz;;4020;Linz/Donau;11;Oberösterreich;057070/220;057070/221;linz@wuestenrot.at;;;;3616975
Zweigstelle;334936;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG L.Dion Steiermark;Mariahilfer-Platz 5;8020;Graz;Graz;;;;;Steiermark;057070/250;057070/251;graz@wuestenrot.at;;;;3616975
Zweigstelle;334952;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG L.Dion St.Pölten;J.Raab-Promenade 15;3100;St.Pölten;St. Pölten;;;;;Niederösterreich;057070/230;057070/23085;st.poelten@wuestenrot.at;;;;3616975
Zweigstelle;334960;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG L.Dion Tirol;Olympiastraße 39;6020;Innsbruck;Innsbruck;;6020;Innsbruck;26;Tirol;057070/452;057070/453;innsbruck@wuestenrot.at;;;;3616975
Zweigstelle;334944;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG L.Dion Vorarlberg;Riedgasse 15;6850;Dornbirn;Dornbirn;;;;;Vorarlberg;057070/280;057070/281;dornbirn@wuestenrot.at;;;;3616975
Zweigstelle;334928;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG L.Dion Wien;Herrengasse 8;1010;Wien;Wien;;1010;Wien;51;Wien;057070/324;057070/325;wien@wuestenrot.at;;;;3616975
Zweigstelle;10973460;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws. Schwechat;Wiener Straße 36-38;2320;Schwechat;Wien-Umgebung;;;;;Niederösterreich;057070/298;057070/299;schwechat@wuestenrot.at;;;20110630;3616975
Zweigstelle;4995244;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Amstetten;Wüstenrotplatz 4;3300;Amstetten;Amstetten;;;;;Niederösterreich;057070/278;057070/279;amstetten@wuestenrot.at;;;19900724;3616975
Zweigstelle;9721436;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Baden;Grabengasse 4;2500;Baden;Baden;;;;;Niederösterreich;057070/302;057070/30286;baden@wuestenrot.at;;;20100226;3616975
Zweigstelle;9916628;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Bludenz;Bahnhofstraße 16;6700;Bludenz;Bludenz;;;;;Vorarlberg;057070/472;057070/473;blud@wuestenrot.at;;;20100629;3616975
Zweigstelle;9727345;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Braunau;Stadtplatz 22;5280;Braunau am Inn;Braunau am Inn;;;;;Oberösterreich;057070/206;057070/207;braunau@wuestenrot.at;;;20100304;3616975
Zweigstelle;4995350;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Bregenz;Arlbergstrasse 103;6900;Bregenz;Bregenz;;;;;Vorarlberg;057070/470;057070/471;bregenz@wuestenrot.at;;;19950331;3616975
Zweigstelle;9721410;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Donaustadt;Wagramer Straße 102;1220;Wien;Wien;;;;;Wien;057070/360;057070/361;donaustadt@wuestenrot.at;;;20100226;3616975
Zweigstelle;334979;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Eisenstadt;Franz Liszt-Gasse 4;7000;Eisenstadt;Eisenstadt;;;;;Burgenland;057070/296;057070/297;eisenstadt@wuestenrot.at;;;;3616975
Zweigstelle;4995317;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Favoriten;Laxenburgerstraße 44;1100;Wien;Wien;;;;;Wien;057070/340;057070/341;favoriten@wuestenrot.at;;;19690220;3616975
Zweigstelle;9721525;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Feldbach;Bürgerstraße 54;8330;Feldbach;Feldbach;;;;;Steiermark;057070/406;057070/407;Feldbach@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721649;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Feldkirch;Reichstraße 82;6800;Feldkirch;Feldkirch;;;;;Vorarlberg;057070/474;057070/475;feldkirch@wuestenrot.at;;;20100226;3616975
Zweigstelle;4995309;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Floridsdorf;Am Spitz 14;1210;Wien;Wien;;;;;Wien;057070/358;057070/359;floridsdorf@wuestenrot.at;;;19910227;3616975
Zweigstelle;9721266;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Freistadt;Neuhoferstrasse 1;4240;Freistadt;Freistadt;;;;;Oberösterreich;057070/224;057070/225;freistadt@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721320;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Gänserndorf;Eichamtstrasse 5-7;2230;Gänserndorf;Gänserndorf;;;;;Niederösterreich;057070/756;057070/757;gaenserndorf@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721495;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Gratkorn;Bruckerstraße 23/7;8101;Gratkorn;Graz-Umgebung;;;;;Steiermark;057070/400;057070/401;gratkorn@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721487;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Graz-Herrengasse;Herrengasse 10;8010;Graz;Graz;;;;;Steiermark;057070/392;057070/393;herrengasse@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721460;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Güssing;Hauptstraße 16;7540;Güssing;Güssing;;;;;Burgenland;057070/318;057070/319;guessing@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721193;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Hallein;Ederstraße 5;5400;Hallein;Hallein;;;;;Salzburg;057070/200;057070/201;hallein@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721517;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Hartberg;Wüstenrotplatz 1;8230;Hartberg;Hartberg;;;;;Steiermark;057070/404;057070/405;hartberg@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721304;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Hollabrunn;Sparkassegasse 34;2020;Hollabrunn;Hollabrunn;;;;;Niederösterreich;057070/272;057070/273;hollabrunn@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721630;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Imst;Ing.-Baller-Straße 4;6460;Imst;Imst;;;;;Tirol;057070/466;057070/467;imst@wuestenrot.at;;;20100226;3616975
Zweigstelle;6652026;50200;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Jacquingasse;Jacquingasse 16-18;1030;Wien;Wien;;;;;Wien;01/79742;01/7974242;;;;;3616975
Zweigstelle;9721479;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Jennersdorf;Hauptplatz 11;8380;Jennersdorf;Jennersdorf;;;;;Burgenland;057070/320;057070/321;jennersdorf@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721380;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Josefstadt;Josefstädter Straße 51;1080;Wien;Wien;;;;;Wien;057070/338;057070/339;josefstadt@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721568;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Judenburg;Burggasse 114 a;8750;Judenburg;Judenburg;;;;;Steiermark;057070/422;057070/423;judenburg@wuestenrot.at;;;20100226;3616975
Zweigstelle;4995333;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Kapfenberg;Wiener Straße 70;8605;Kapfenberg;Bruck an der Mur;;;;;Steiermark;057070/416;057070/417;kapfenberg@wuestenrot.at;;;19960313;3616975
Zweigstelle;4995252;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Krems;Dinstlstraße 1b;3500;Krems/Donau;Krems;;;;;Niederösterreich;057070/284;057070/285;krems@wuestenrot.at;;;19880101;3616975
Zweigstelle;9721533;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Leibnitz;Wagna Straße 8;8430;Leibnitz;Leibnitz;;;;;Steiermark;057070/408;057070/409;Leibnitz@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721550;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Leoben;Kärntner Straße 303;8700;Leoben;Leoben;;;;;Steiermark;057070/420;057070/421;leoben@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721614;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Lienz;Beda-Weber-Gasse 27 a;9900;Lienz;Lienz;;;;;Tirol;057070/446;057070/447;lienz@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721576;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Liezen;Ausseer Straße 9-11;8940;Liezen;Liezen;;;;;Steiermark;057070/426;057070/427;liezen@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721231;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Linz-Urfahr;Gerstnerstraße 20;4040;Linz-Urfahr;Linz;;;;;Oberösterreich;057070/218;057070/219;urfahr@wuestenrot.at;;;20100226;3616975
Zweigstelle;4995279;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Meidling;Meidlinger Hauptstraße 1;1120;Wien;Wien;;;;;Wien;057070/344;057070/345;meidling@wuestenrot.at;;;19810902;3616975
Zweigstelle;9721339;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Melk;Wiener Straße 38;3390;Melk;Melk;;;;;Niederösterreich;057070/464;057070/465;melk@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721312;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Mistelbach;Guido Sklenargasse 1;2130;Mistelbach;Mistelbach;;;;;Niederösterreich;057070 274;057070 275;mistelbach@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721444;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Neusiedl;Wiener Straße 2;7100;Neusiedl am See;Neusiedl am See;;;;;Burgenland;057070/306;057070/307;Neusiedlamsee@wuestenrot.at;;;20100226;3616975
Zweigstelle;4995236;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.NÖ-Ost;Grazer Straße 3;2700;Wiener Neustadt;Wiener Neustadt;;;;;Niederösterreich;057070/290;057070/291;wr.neustadt@wuestenrot.at;;;19870828;3616975
Zweigstelle;9721452;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Oberpullendorf;Hauptplatz 14;7350;Oberpullendorf;Oberpullendorf;;;;;Burgenland;057070/314;057070/315;oberpullendorf@wuestenrot.at;;;20100226;3616975
Zweigstelle;4995260;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Oberwart;Wiener Straße 48;7400;Oberwart;Oberwart;;;;;Burgenland;057070/316;057070/317;oberwart@wuestenrot.at;;;19921006;3616975
Zweigstelle;4995295;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Ottakring;Thaliastraße 15;1160;Wien;Wien;;;;;Wien;057070/352;057070/353;ottakring@wuestenrot.at;;;19690512;3616975
Zweigstelle;9721398;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Penzing;Reinlgasse 35;1140;Wien;Wien;;;;;Wien;057070/348;057070/349;penzing@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721258;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Perg;Herrenstrasse 29;4320;Perg;Perg;;;;;Oberösterreich;057070/226;057070/227;perg@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721290;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Ried;Bahnhofstraße 39 b;4910;Ried;Ried im Innkreis;;;;;Oberösterreich;057070/242;057070/243;ried@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721240;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Rohrbach;Bahnhofstraße 18;4150;Rohrbach;Rohrbach;;;;;Oberösterreich;057070/214;057070/215;rohrbach@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721584;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.St. Veit a.d. Glan;Bahnhofstraße 10;9300;St. Veit an der Glan;St. Veit an der Glan;;;;;Kärnten;057070/438;057070/439;st.veit@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721274;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Steyr;Dukartstraße 19 a;4400;Steyr;Steyr;;;;;Oberösterreich;057070/228;057070/229;steyr@wuestenrot.at;;;20100226;3616975
Zweigstelle;9727353;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.St.Johann;Industriestraße 26-28;5600;St. Johann im Pongau;St. Johann im Pongau;;;;;Salzburg;057070/202;057070/203;st.johann@wuestenrot.at;;;20100304;3616975
Zweigstelle;9721215;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Tamsweg;Amtsgasse 141;5580;Tamsweg;Tamsweg;;;;;Salzburg;057070/478;057070/479;tamsweg@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721223;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Traun;Bahnhofstraße 21;4050;Traun;Linz-Land;;;;;Oberösterreich;057070/216;057070/217;traun@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721347;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Tulln;Frauentorgasse 87;3430;Tulln;Tulln;;;;;Niederösterreich;057070/282;057070/283;tulln@wuestenrot.at;;;20100226;3616975
Zweigstelle;4995341;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Villach;Gerbergasse 22;9500;Villach;Villach;;;;;Kärnten;057070/442;057070/443;villach@wuestenrot.at;;;19920301;3616975
Zweigstelle;4995228;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Vöcklabruck;Max-Planck-Straße 11;4840;Vöcklabruck;Vöcklabruck;;;;;Oberösterreich;057070/238;057070/239;voecklabruck@wuestenrot.at;;;19971023;3616975
Zweigstelle;9721401;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Währing;Währingerstraße 87;1180;Wien;Wien;;;;;Wien;057070/356;057070/357;waehring@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721355;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Waidhofen a.d. Thaya;Bahnhofstraße 25;3830;Waidhofen an der Thaya;Waidhofen an der Thaya;;;;;Niederösterreich;057070/286;057070/287;waidhofen@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721509;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Weiz;Birkfelderstrasse 10;8160;Weiz;Weiz;;;;;Steiermark;057070/402;057070/403;weiz@wuestenrot.at;;;20100226;3616975
Zweigstelle;4995198;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Wels;Pfarrgasse 34;4600;Wels;Wels;;;;;Oberösterreich;057070/266;057070/267;wels@wuestenrot.at;;;19951025;3616975
Zweigstelle;9721592;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Wolfsberg;Hermann-Fischer-Straße 2;9400;Wolfsberg;Wolfsberg;;;;;Kärnten;057070/768;057070/769;wolfsberg@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721622;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Wörgl;Bahnhofstraße 25;6300;Wörgl;Kufstein;;;;;Tirol;057070/456;057070/457;woergl@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721207;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Zell am See;Loferer Bundesstraße 10;5700;Zell am See;Zell am See;;;;;Salzburg;05707/204;05707/205;zellamsee@wuestenrot.at;;;20100226;3616975
Zweigstelle;9721363;19950;;Bausparkassen;;Bausparkasse Wüstenrot AG Zws.Zwettl;Hamerlingstraße 17;3910;Zwettl;Zwettl;;;;;Niederösterreich;057070/288;057070/289;zwettl@wuestenrot.at;;;20100226;3616975
Hauptanstalt;5557356;71500;KI;Sonderbanken;223765t;BAWAG Allianz Vorsorgekasse AG;Hietzinger Kai 101-105;1130;Wien;Wien;;;;;Wien;059009/88750;059009/40128;bawagallianz@vk-service.at;;;20020627;
Hauptanstalt;53767;14000;KI;Aktienbanken;205340x;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG;Georg-Coch-Platz 2;1018;Wien;Wien;;1011;Wien;171;Wien;59905;059905/22840;bawagpsk@bawagpsk.com;BAWAATWW;;19220101;
Zweigstelle;9285164;60000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Center Buchengasse;Buchengasse 11-15;1100;Wien;Wien;;;;;Wien;01/51400;01/5140022840;;OPSKATWW;www.bawagpsk.com;20090604;53767
Zweigstelle;11278234;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Abtenau (Postservice);Markt 150;5441;Abtenau;Hallein;;;;;Salzburg;0577677/5441;0577678/5441;;;;20111220;53767
Zweigstelle;10993983;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Aigen im Ennstal (Postservice);Aigen 121;8943;Aigen im Ennstal;Liezen;;;;;Steiermark;0577677/8943;0577678/8943;;;;20110526;53767
Zweigstelle;330817;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Allerheiligenplatz;Salzachstraße 2;1200;Wien;Wien;;;;;Wien;01/3326535;01/332653534;;;;;53767
Zweigstelle;11247266;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Altenfelden (Postservice);Veldenstraße 4;4121;Altenfelden;Rohrbach;;;;;Oberösterreich;0577677/4121;0577678/4121;;;;20111130;53767
Zweigstelle;11299622;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Althanstraße (Postservice);Althanstraße 10;1090;Wien;Wien;;;;;Wien;059905/610900;059905/610919;;;;20110824;53767
Zweigstelle;10993410;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Altheim, Oberösterreich (Postservice);Braunauer Straße 3;4950;Altheim, Oö.;Braunau am Inn;;;;;Oberösterreich;0577677/4950;0577678/4950;;;;20110526;53767
Zweigstelle;331635;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Amstetten (Postservice);Hauptplatz 10;3300;Amstetten;Amstetten;;;;;Niederösterreich;059905/629500;059905/629519;;;;19840301;53767
Zweigstelle;10993363;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Andorf, Oberösterreich (Postservice);Hauptstraße 38;4770;Andorf;Schärding;;;;;Oberösterreich;0577677/4770;0577678/4770;;;;20110530;53767
Zweigstelle;11091908;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Arnoldstein (Postservice);Gemeindeplatz 4;9601;Arnoldstein;Villach-Land;;;;;Kärnten;0577677/9601;0577678/9601;;;;20110819;53767
Zweigstelle;15923070;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Aspang (Postservice);Hauptstraße 18;2870;Aspang;Neunkirchen;;;;;Niederösterreich;059905/628700;059905/628719;;;;20120323;53767
Zweigstelle;15923169;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Asten (Postservice);Marktplatz 3;4481;Asten;Linz-Land;;;;;Oberösterreich;059905/643800;059905/643819;;;;20120523;53767
Zweigstelle;331325;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Attnang-Puchheim;Rathausplatz 1;4800;Attnang-Puchh.;Vöcklabruck;;;;;Oberösterreich;07674/62201;07674/6220123;;;;19710407;53767
Zweigstelle;10993045;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Auersthal (Postservice);Hauptstraße 99;2214;Auersthal;Gänserndorf;;;;;Niederösterreich;0577677/2214;0577678/2214;;;;20110328;53767
Zweigstelle;10993975;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Aussee (Postservice);Ischler Straße 94;8990;Bad Aussee;Liezen;;;;;Steiermark;0577677/8990;0577678/8990;;;;20110629;53767
Zweigstelle;16218523;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Gastein (Postservice);Bahnhofsplatz 9;5640;Bad Gastein;St. Johann im Pongau;;;;;Salzburg;059905/655400;059905/655419;;;;20120928;53767
Zweigstelle;10993843;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Gleichenberg (Postservice);Grazer Straße 6;8344;Bad Gleichenberg;Feldbach;;;;;Steiermark;0577677/8344;0577678/8344;;;;20110729;53767
Zweigstelle;10993398;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Goisern am Hallstättersee (Postservice);Bahnhofstraße 14;4822;Bad Goisern am Hallstättersee;Gmunden;;;;;Oberösterreich;0577677/4822;0577678/4822;;;;20110524;53767
Zweigstelle;11247177;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Hall (Postservice);Bahnhofstraße 3;4540;Bad Hall;Steyr-Land;;;;;Oberösterreich;0577677/4540;0577678/4540;;;;20111118;53767
Zweigstelle;10993541;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Hofgastein (Postservice);Postgasse 4;5630;Bad Hofgastein;St. Johann im Pongau;;;;;Salzburg;0577677/5630;0577678/5630;;;;20110630;53767
Zweigstelle;10993380;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Ischl (Postservice);Auböckplatz 4;4820;Bad Ischl;Gmunden;;;;;Oberösterreich;0577677/4820;0577678/4820;;;;20110629;53767
Zweigstelle;15923100;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Leonfelden (Postservice);Hauptplatz 18;4190;Bad Leonfelden;Urfahr-Umgebung;;;;;Oberösterreich;059905/641900;059905/641919;;;;20120426;53767
Zweigstelle;11278200;14000;;Aktienbanken;;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG Filiale Bad Radkersburg (Postservice);Hauptplatz 17;8490;Bad Radkersburg;Radkersburg;;;;;Steiermark;0577677/8490;0577678/8490;;;;20111216;53767
